id,neg|score,neg|p-value,neg|fdr,neg|rank,neg|lfc,neg|goodsgrnacount,neg|goodsgrnaid,neg|goodsgrnalfc
APOBEC3C,0.092542,0.29476,1,4744,-0.37843,5,HGLibA_02481;HGLibA_02483;HGLibB_02480;HGLibA_02482;HGLibB_02481;,-0.78177;-0.51197;-0.41978;-0.33707;-0.2034;
APOL5,0.13992,0.36722,1,6219,-0.37842,4,HGLibB_02537;HGLibB_02538;HGLibA_02539;HGLibA_02540;,-0.66419;-1.0388;-0.79359;-0.092652;
TSKS,0.0031902,0.046219,1,329,-0.37838,3,HGLibB_51806;HGLibA_51872;HGLibA_51871;,-0.99037;-1.0164;-0.78945;
NAA40,0.0096406,0.076025,1,835,-0.37834,5,HGLibB_30954;HGLibA_30998;HGLibA_30996;HGLibB_30955;HGLibA_30997;,-0.45035;-0.39183;-0.36485;-0.43112;-0.24235;
ACAA1,0.019408,0.11704,1,1467,-0.3783,5,HGLibA_00342;HGLibB_00340;HGLibA_00341;HGLibB_00341;HGLibB_00342;,-0.72686;-0.35403;-0.61324;-0.22133;-0.40257;
C2orf62,0.11581,0.34078,1,5608,-0.3782,5,HGLibB_06153;HGLibB_06155;HGLibA_06158;HGLibA_06157;HGLibB_06154;,-0.42222;-0.51108;-1.4714;-0.33419;-0.038005;
HSPH1,0.014585,0.10263,1,1141,-0.37809,5,HGLibB_22314;HGLibA_22342;HGLibB_22313;HGLibB_22315;HGLibA_22343;,-0.62199;-0.57231;-0.36789;-0.38828;-0.25015;
UNC80,0.029733,0.15416,1,2007,-0.37804,4,HGLibA_53033;HGLibB_52966;HGLibA_53031;HGLibA_53032;,-0.74497;-0.28133;-0.73494;-0.47476;
SLC9B2,0.058958,0.22919,1,3375,-0.37795,4,HGLibB_45384;HGLibA_45436;HGLibA_45435;HGLibA_45437;,-1.8078;-1.2807;-0.47516;-0.28074;
ZNF395,0.087194,0.2866,1,4519,-0.37782,5,HGLibB_55845;HGLibA_55911;HGLibA_55913;HGLibB_55846;HGLibA_55912;,-0.79193;-0.33496;-0.42068;-0.24689;-0.47743;
