gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc
GABRR2,0.006215,0.028418,0.945518,558,0.91467,4,HGLibA_18406;HGLibB_18383;HGLibA_18408;HGLibA_18407;,1.9655;1.1326;2.2608;0.69674;
CLMN,0.006312,0.028418,0.945518,563,0.92089,5,HGLibA_10070;HGLibB_10060;HGLibB_10059;HGLibA_10069;HGLibA_10068;,1.2575;1.4131;1.1422;0.69959;0.10605;
OTOR,0.006353,0.028418,0.945518,567,0.76849,5,HGLibA_34743;HGLibB_34698;HGLibA_34744;HGLibA_34745;HGLibB_34699;,1.0122;1.2878;0.52482;1.54;0.13658;
SLC3A2,0.0063664,0.028418,0.945518,568,0.98959,5,HGLibB_45079;HGLibB_45080;HGLibB_45081;HGLibA_45133;HGLibA_45132;,0.796;1.1583;0.96342;1.0158;1.025;
KLRC4,0.0063767,0.028418,0.945518,569,0.7296,6,HGLibB_25258;HGLibA_25294;HGLibA_25295;HGLibB_25260;HGLibA_25293;HGLibB_25259;,0.85699;0.79265;0.66654;0.35727;1.0702;0.098476;
PINK1,0.0063861,0.028418,0.945518,570,0.70506,5,HGLibA_36691;HGLibA_36690;HGLibA_36689;HGLibB_36642;HGLibB_36643;,1.3597;0.64089;1.1746;0.76923;0.63607;
CAAP1,0.0064323,0.028418,0.945518,576,0.86285,5,HGLibA_06831;HGLibA_06829;HGLibA_06830;HGLibB_06826;HGLibB_06825;,1.2605;1.0791;1.0289;0.69681;0.065658;
KRTAP9-8,0.0064636,0.028499,0.945518,579,0.81798,5,HGLibB_25811;HGLibA_25848;HGLibB_25812;HGLibB_25813;HGLibA_25847;,2.1195;0.68232;0.93807;3.1597;0.69788;
ATRAID,0.0065019,0.0285,0.945518,585,0.90029,5,HGLibB_03810;HGLibA_03812;HGLibA_03814;HGLibB_03812;HGLibB_03811;,0.94259;1.5337;1.0774;0.85799;0.5855;
RLBP1,0.0065096,0.0285,0.945518,586,0.78598,4,HGLibA_41342;HGLibA_41344;HGLibA_41343;HGLibB_41291;,0.83949;2.5052;0.73248;0.89189;
OR52N5,0.0065254,0.0285,0.945518,587,0.72964,6,HGLibA_34202;HGLibA_34201;HGLibA_34203;HGLibB_34157;HGLibB_34158;HGLibB_34156;,1.0925;1.9483;0.71746;0.74183;0.091786;0.066333;
CHML,0.0065576,0.028575,0.945518,591,-0.86736,2,HGLibA_09469;HGLibB_09460;,1.9582;1.1353;
SPTAN1,0.0065862,0.028719,0.945518,592,0.92955,6,HGLibA_46874;HGLibA_46875;HGLibB_46817;HGLibA_46873;HGLibB_46816;HGLibB_46818;,1.2119;1.4108;1.1882;0.67091;0.011685;3.1789e-05;
NELFA,0.0066048,0.028719,0.945518,594,0.93273,6,HGLibB_31628;HGLibA_31671;HGLibB_31627;HGLibB_31629;HGLibA_31672;HGLibA_31670;,2.3048;1.3137;0.9776;0.64925;0.88785;0.14881;
PDHB,0.0066208,0.02872,0.945518,596,0.70129,5,HGLibA_35869;HGLibB_35821;HGLibB_35822;HGLibA_35867;HGLibB_35820;,1.0708;0.57802;0.82456;0.88543;0.093113;
RPL29,0.0067331,0.028806,0.945518,604,0.74471,4,HGLibB_41876;HGLibB_41874;HGLibA_41927;HGLibA_41928;,1.2257;1.0538;1.0355;0.4539;
GTF3C2,0.006853,0.028977,0.945518,614,0.79839,5,HGLibA_20583;HGLibB_20554;HGLibB_20555;HGLibA_20584;HGLibA_20582;,0.78337;0.97269;1.1021;0.34861;0.8134;
TOR1AIP1,0.0069289,0.029148,0.945518,619,0.98684,6,HGLibA_51019;HGLibA_51017;HGLibA_51018;HGLibB_50955;HGLibB_50954;HGLibB_50956;,1.4993;1.6964;1.0617;0.91195;0.15141;0.12144;
MOGAT2,0.0071803,0.030364,0.945518,633,0.8803,6,HGLibB_29587;HGLibA_29626;HGLibB_29586;HGLibA_29627;HGLibB_29585;HGLibA_29628;,1.3331;1.2766;0.48402;2.0247;0.20624;0.25897;
